"","Nationals","Liberals","Labor"
"consid",1,1,5
"construct",2,8,2
"consul",1,0,0
"consultat",1,0,0
"continu",3,7,8
"coolah",1,0,0
"cooper",1,1,3
"cosgrov",1,1,0
"costasgarden",1,0,0
"countri",2,8,11
"coupl",3,1,1
"cours",1,0,2
"cousin",1,0,0
"cowper",1,0,0
"craftsman",1,0,0
"craig",1,0,1
"crash",1,0,2
"creat",4,4,8
"creek",2,2,0
"crispi",1,0,0
"critic",1,5,2
"cuisin",1,0,0
"dailyliber",1,0,0
"dailymercuri",3,0,0
"dam",11,1,0
"damag",1,1,4
"damettomp",1,0,0
"damtom",3,0,0
"daniel",2,2,1
"dannyobrienmp",1,0,3
"darl",1,0,0
"daryl",1,0,0
"date",2,0,1
"daughter",1,0,0
"david",1,0,8
"day",14,38,55
"deal",3,11,2
"death",1,0,1
"decad",1,0,5
"decid",1,4,1
"decis",1,8,16
"defencejobsaust",1,2,0
"definit",2,0,3
"delight",1,10,1
"deliv",1,14,31
"demand",1,0,4
"demonstr",2,2,1
"deputi",4,2,3
"deserv",1,3,2
"despera",1,0,0
"develop",2,6,3
"diabet",2,3,3
"die",1,0,5
"differ",1,4,10
"difficult",1,0,2
"digger",1,0,0
"dim",2,0,0
"dine",1,0,0
"dinner",1,0,0
"diplomat",1,1,1
"director",1,2,5
"dirti",1,0,0
"disa",1,0,0
"discuss",1,17,13
"divers",1,0,2
"dlittleproudmp",2,0,0
"doctor",1,0,0
"doctorwho",1,0,0
"domest",1,3,1
"donat",1,6,9
"done",4,9,13
"dont",1,6,34
"doubl",1,1,5
"doubt",1,0,3
"doubter",1,0,0
"drive",2,10,5
"driver",1,0,2
"drop",3,2,6
"drought",1,2,1
"droughtproof",1,0,0
"drug",1,0,0
"dubbocouncil",1,0,0
"dunno",1,0,0
"east",1,2,2
"eater",1,0,0
"econom",1,22,33
"economi",2,21,9
"edg",1,0,0
"effect",1,0,6
"effort",1,2,3
"ego",1,0,0
"either",1,0,4
"elect",1,9,23
"electr",3,1,0
"ellinjaa",1,0,0
"elliott",1,0,0
"emerg",3,1,4
"emiss",1,2,4
"empathi",1,0,1
"employ",1,11,3
"encourag",1,7,2
"energyvoiceau",1,0,0
"enjoy",3,1,4
"enough",1,5,6
"enterpris",1,4,0
"entranc",1,0,0
"entrant",1,0,0
"entri",2,0,0
"environ",1,0,7
"episod",1,2,0
"equal",1,2,5
"equex",1,0,0
"equip",1,1,1
"especi",1,1,1
"essenti",1,0,1
"estuari",1,0,0
"evan",3,0,2
"even",3,5,12
"ever",2,8,12
"everi",5,12,14
"excit",1,4,1
"exercis",1,1,1
"exhib",1,0,0
"expect",2,3,1
"expens",2,0,2
"explor",1,0,0
"expo",1,0,0
"export",2,2,2
"extent",1,0,0
"extremist",1,1,7
"eye",1,1,2
"fac",1,0,0
"facil",1,5,4
"famili",3,20,22
"fantast",10,7,12
"fantasti",1,0,0
"far",1,1,4
"farm",3,0,1
"farmer",3,1,5
"favourit",1,0,4
"feather",1,0,0
"fed",1,1,2
"feder",6,5,14
"field",2,1,2
"fight",2,2,5
"fighter",1,0,0
"financialreview",1,0,3
"find",1,3,6
"fine",2,0,2
"first",1,24,26
"fischer",1,0,0
"fish",2,0,0
"fiveyearold",1,0,0
"flag",1,1,2
"fli",1,0,2
"flood",1,1,0
"flow",1,0,1
"flyer",1,0,0
"flynn",1,1,0
"focus",1,4,1
"food",2,14,13
"foodbank",1,12,28
"foodtech",1,0,0
"foot",1,0,0
"forc",1,7,5
"forecast",1,0,0
"forget",1,1,1
"forgiv",1,0,0
"forgotten",1,0,1
"form",1,0,3
"formal",1,2,0
"former",2,3,15
"four",1,3,2
"frasercoastrc",1,0,0
"freedom",2,1,2
"friend",3,2,17
"front",1,3,4
"frozen",1,0,0
"fruit",2,0,0
"frydenberg",1,0,8
"fulli",1,1,8
"fun",2,1,3
"fund",10,42,59
"funer",1,1,0
"futur",1,11,8
"gallipoli",1,0,0
"game",1,1,2
"gannon",1,0,0
"gave",1,2,0
"gaza",1,1,0
"gear",1,4,26
"georg",1,0,0
"geoseymour",1,0,0
"get",4,18,49
"gippsland",1,0,0
"give",1,6,24
"given",1,1,4
"goal",1,3,5
"goe",1,1,2
"gone",1,0,3
"good",4,25,44
"goonellabah",1,0,0
"got",1,4,4
"gov",1,0,4
"govern",7,44,90
"govt",1,10,25
"grahamperrettmp",3,0,21
"graincorp",1,0,0
"grang",1,0,0
"grant",5,6,9
"great",19,48,71
"greater",1,2,2
"greatest",1,0,2
"green",1,0,2
"greg",1,0,0
"ground",1,1,0
"group",3,6,12
"grow",6,7,3
"grower",2,0,0
"growth",1,7,11
"guarante",1,4,1
"guardianeditor",1,0,0
"guinea",1,1,1
"gulargambonecentralschool",1,0,0
"gun",1,1,0
"guy",1,2,6
"gym",1,0,0
"hannah",1,0,0
"happi",2,7,9
"hard",2,4,11
"hardenmurrumburrah",1,0,0
"harold",1,0,5
"harvest",2,0,1
"hasnt",1,0,5
"hate",3,0,3
"havent",1,1,2
"hazel",1,0,0
"head",2,3,8
"healthi",1,0,5
"hear",2,19,17
"heavi",3,2,0
"heidelberg",1,0,0
"help",6,27,27
"henschk",1,0,0
"hero",1,0,2
"hervey",2,0,0
"herveybay",1,0,0
"hey",1,0,7
"high",1,9,8
"higher",2,1,4
"highland",1,0,1
"highlight",1,2,5
"hightech",1,0,0
"hinkler",1,0,0
"hold",1,0,1
"hole",1,0,0
"home",2,17,8
"hon",1,6,0
"hong",1,1,0
"honour",4,10,7
"hope",1,5,6
"horror",1,0,0
"hors",1,1,0
"hospit",2,10,9
"host",1,6,6
"hot",1,0,0
"hote",1,0,0
"hous",1,17,41
"howev",1,1,1
"htt",1,0,4
"http",2,0,3
"https",1,9,8
"httpstc",1,1,2
"httpstcoapyqcurhn",1,0,0
"httpstcoaqntvqlnot",1,0,0
"httpstcoatoevgvkv",1,0,0
"httpstcobbnizgf",1,0,0
"httpstcobhdwfvymk",1,0,0
"httpstcobycmfhxio",1,0,0
"httpstcobyuvdizo",1,0,0
"httpstcocbjihfkcj",1,0,0
"httpstcoccweni",1,0,0
"httpstcocfozsnubv",1,0,0
"httpstcocfvyzxubaf",1,0,0
"httpstcoclexgglx",1,0,0
"httpstcocnofqmkxi",1,0,0
"httpstcocxedrssgia",1,0,0
"httpstcocxpdpul",1,0,0
"httpstcocynosndr",1,0,0
"httpstcodeokbawx",1,0,0
"httpstcodfjwehta",1,0,0
"httpstcodguapqn",1,0,0
"httpstcoecrhoij",1,0,0
"httpstcoedrpbvzh",1,0,0
"httpstcoehoxxsjej",1,0,0
"httpstcoenwxelzg",1,0,0
"httpstcoesvhusixm",1,0,0
"httpstcoexjcpywu",1,0,0
"httpstcofeqnrfgyy",1,0,0
"httpstcofhjboksta",1,0,0
"httpstcofqiklljh",1,0,0
"httpstcogcorklo",1,0,0
"httpstcognbiyqjb",1,0,0
"httpstcogwjrisinyd",1,0,0
"httpstcogxthzjom",1,0,0
"httpstcohdkkyfxh",1,0,0
"httpstcohgbncuwz",1,0,0
"httpstcohghrzcl",1,0,0
"httpstcohokzbihsn",1,0,0
"httpstcohssaapou",1,0,0
"httpstcoigcqovjlm",1,0,0
"httpstcoiojvwk",1,0,0
"httpstcoiyxbcez",1,0,0
"httpstcojcvvhcidd",1,0,0
"httpstcojhycyt",1,0,0
"httpstcojnualnuawu",1,0,0
"httpstcojpbblt",1,0,0
"httpstcojzlreasnh",1,0,0
"httpstcokanxqkbsr",1,0,0
"httpstcokcicpwfd",1,0,0
"httpstcokcxmnktpf",1,0,0
"httpstcokqwnllrx",1,0,0
"httpstcokqxysqi",1,0,0
"httpstcokutaofjslj",1,0,0
"httpstcokxnczstyj",1,0,0
"httpstcolhkakgypp",1,0,0
"httpstcoljyiiqcb",1,0,0
"httpstcolwkiuuamyx",1,0,0
"httpstcolysbxoz",1,0,0
"httpstcolzuolwwl",1,0,0
"httpstcomivquvv",1,0,0
"httpstcomlesbfb",1,0,0
"httpstcomppftv",1,0,0
"httpstcomrwlczxffw",1,0,0
"httpstcomteaeoc",1,0,0
"httpstcomxfnhkyyc",1,0,0
"httpstcomxohzpcsr",1,0,0
"httpstcomyeagcj",1,0,0
"httpstcomzixgvp",1,0,0
"httpstconaysqevsl",1,0,0
"httpstcondgoeyfxcv",1,0,0
"httpstconfbwigrkd",1,0,0
"httpstcongsfrabvik",1,0,0
"httpstconychopzo",1,0,0
"httpstcooitdmzod",1,0,0
"httpstcoojjzmuejwn",1,0,0
"httpstcookyzvmd",1,0,0
"httpstcoonyhcaw",1,0,0
"httpstcooonwvap",1,0,0
"httpstcoorodiweq",1,0,0
"httpstcooynqmilq",1,0,0
"httpstcoozvumnirn",1,0,0
"httpstcopfyblzzdst",1,0,0
"httpstcopgfytqtfm",1,0,0
"httpstcopovqfnf",1,0,0
"httpstcoprykyun",1,0,0
"httpstcopstacydzq",1,0,0
"httpstcoqeupeozqz",1,0,0
"httpstcoqmpcath",1,0,0
"httpstcoqonbomi",1,0,0
"httpstcoqppopphxna",1,0,0
"httpstcoqwpfau",1,0,0
"httpstcoratvjkq",1,0,0
"httpstcorfgrnebg",1,0,0
"httpstcorpqcqcnci",1,0,0
"httpstcorqmcfpwlyz",1,0,0
"httpstcorqzbdmrmim",1,0,0
"httpstcortxcykjgmw",1,0,0
"httpstcosgokyykul",1,0,0
"httpstcosijgltog",1,0,0
"httpstcoszqoiiesl",1,0,0
"httpstcotbjdpitjb",1,0,0
"httpstcotdzcews",1,0,0
"httpstcotlfomhqiz",1,0,0
"httpstcotlnzxircbi",1,0,0
"httpstcoubdhszoh",1,0,0
"httpstcoukdsyqxdb",1,0,0
"httpstcoupkbwucem",1,0,0
"httpstcoutrxsinq",1,0,0
"httpstcouuqeugzsjz",1,0,0
"httpstcovlfdcgc",1,0,0
"httpstcovplrrqc",1,0,0
"httpstcovqddslnobh",1,0,0
"httpstcovvwnfd",1,0,0
"httpstcowcauxo",1,0,0
"httpstcowhwiyckap",1,0,0
"httpstcowqinpcvb",1,0,0
"httpstcoxcqermtf",1,0,0
"httpstcoxjeuvzok",1,0,0
"httpstcoxtafcbb",1,0,0
"httpstcoxwufwbxa",1,0,0
"httpstcoyfoow",1,0,0
"httpstcoyosrbmt",1,0,0
"httpstcoypygxekqfi",1,0,0
"httpstcoyqtntyka",1,0,0
"httpstcoyrcbxswud",1,0,0
"httpstcozabunbk",1,0,0
"httpstcozegdbtvq",1,0,0
"httpstcozjivlkpr",1,0,0
"httpstcozpfuwswg",1,0,0
"httpstcozsvfyktn",1,0,0
"httpstcozyzvemrd",1,0,0
"httptcocrsvqptrd",1,0,0
"hub",1,1,1
"human",1,1,0
"humour",1,0,1
"hvsi",1,0,0
"hydrat",1,1,0
"hygien",1,0,0
"ice",1,0,1
"idea",1,1,4
"ideologi",1,0,0
"iea",1,0,1
"iluka",2,0,0
"impactedi",1,1,0
"import",2,19,39
"improv",1,7,5
"inc",1,3,0
"includ",2,4,25
"india",4,0,5
"indigen",1,3,3
"indigenousanzac",1,0,0
"indonesia",1,1,5
"industri",4,10,3
"infra",1,0,0
"infrastructur",2,2,2
"initi",1,7,5
"injuri",1,2,1
"inland",1,0,0
"inspir",1,1,4
"interest",3,1,17
"intern",5,6,6
"interview",1,0,5
"introduc",2,1,4
"invest",9,6,30
"investig",1,1,0
"irrig",1,0,0
"israel",1,6,5
"issu",2,5,11
"item",1,0,0
"ive",3,2,20
"jack",1,0,2
"jagun",1,0,0
"jail",1,2,0
"jam",1,0,0
"jamesmerlinomp",1,0,0
"januari",1,0,0
"japanes",1,3,7
"jechalm",1,0,23
"jennygardin",1,0,0
"jet",1,0,0
"jew",1,0,1
"job",7,13,16
"john",2,9,8
"johnbarilaromp",1,0,0
"johnjmcveigh",1,3,0
"join",5,24,26
"joint",1,10,1
"josh",1,0,13
"joshfrydenberg",1,17,8
"june",1,0,0
"just",6,20,78
"justifi",2,0,0
"karen",1,0,1
"kateljon",1,0,0
"keep",1,4,6
"keepcommun",1,0,0
"keithjpitt",3,0,0
"kellieoc",1,0,0
"kenodowdmp",2,0,0
"key",1,2,2
"kierangilbert",1,0,0
"kind",1,0,6
"kingo",1,0,0
"know",1,11,29
"kokoda",1,0,0
"kong",1,1,0
"kye",2,0,0
"kyogl",4,0,0
"labor",2,73,175
"lake",1,2,3
"lamb",1,0,1
"land",1,1,2
"landfil",1,0,0
"landhold",1,0,0
"landri",1,0,0
"lapsley",1,0,0
"larg",2,0,2
"last",3,14,18
"late",1,3,2
"latrobec",1,0,0
"launch",2,7,11
"lawn",1,0,0
"leader",2,11,16
"leadership",1,2,4
"learn",2,8,7
"leav",1,13,10
"left",1,2,5
"lefthand",1,0,1
"leighsal",1,0,0
"lestweforget",1,0,2
"leve",1,0,0
"level",1,4,4
"liber",1,7,81
"liberalaus",2,15,1
"life",1,2,7
"lifestyl",1,0,0
"like",2,9,34
"lismor",2,0,0
"littl",2,4,3
"live",1,6,28
"liz",1,0,0
"lobbi",1,0,0
"loc",1,1,0
"local",7,19,16
"localdrugactionteam",1,0,0
"lock",1,0,1
"lockhart",2,0,0
"log",1,0,0
"longserv",1,0,0
"look",7,5,23
"lookout",1,0,0
"lot",1,4,7
"louie",1,0,0
"love",1,4,15
"lovegippsland",3,0,0
"luck",1,2,0
"lucki",1,1,3
"lunch",1,0,0
"lyleshelton",1,13,0
"machineri",2,0,0
"mackay",3,0,0
"maclean",1,0,0
"macquari",2,0,2
"macquariehast",1,0,0
"made",1,5,10
"magnific",1,0,1
"mahathir",1,0,0
"main",1,0,0
"make",8,20,60
"male",1,1,0
"maleswarren",4,0,0
"manag",1,5,7
"mani",3,4,19
"mareeba",1,0,0
"markbutlermp",1,0,5
"massiv",1,0,8
"master",2,1,2
"mat",1,0,0
"match",1,0,3
"mate",1,0,5
"matter",1,3,3
"mattjcan",4,0,0
"mayor",2,0,4
"mcdonald",1,3,6
"mchappi",1,1,3
"meal",1,0,1
"medal",1,0,1
"media",1,26,19
"meet",4,27,15
"melbourn",1,7,10
"meljmaddison",2,0,0
"member",6,11,15
"memori",1,1,3
"men",5,5,3
"mercroad",1,0,0
"messag",2,1,3
"michell",1,0,1
"mid",1,0,2
"might",1,1,5
"mike",2,1,0
"militari",1,2,1
"million",9,27,33
"mine",1,1,2
"minist",7,27,43
"mitchellbazley",1,0,0
"mitig",1,1,0
"mjrowland",1,1,0
"mmccormackmp",11,3,1
"mmmm",1,0,0
"modi",1,0,1
"moham",1,0,0
"molli",2,0,0
"moment",3,8,4
"money",2,1,12
"mongarlow",1,0,0
"month",2,6,11
"moone",1,0,0
"more",1,0,0
"moreechampion",1,0,0
"morn",4,19,23
"morwel",1,0,0
"movement",1,0,2
"movi",1,0,1
"mrsammac",1,0,0
"muc",1,0,0
"much",1,8,19
"muchneed",1,0,0
"multipurpos",1,0,0
"mum",1,1,4
"must",2,0,13
"narrabri",1,0,0
"nat",1,0,2
"natio",1,0,0
"nation",6,29,55
"nationalagricultureday",1,0,0
"nationalfarm",1,0,14
"natirrig",2,0,0
"natur",1,1,2
"near",1,6,4
"need",5,7,39
"negoti",1,1,0
"neighbour",1,0,0
"network",1,0,5
"nev",1,0,0
"never",2,4,16
"new",9,47,42
"newli",1,0,2
"news",8,9,31
"newsbrisban",1,0,0
"newscentralqld",1,0,0
"newsqueensland",1,0,0
"newstoowoomba",1,2,0
"newswidebay",1,0,0
"next",2,7,14
"nic",1,0,0
"night",2,9,9
"nomine",1,0,1
"normal",1,0,1
"north",5,1,1
"northeastern",1,0,0
"noth",2,2,16
"nov",1,4,0
"now",1,27,45
"nsw",3,2,5
"nswnation",2,0,0
"nuclear",1,4,1
"offer",2,11,4
"offspin",1,0,0
"old",3,6,11
"oliv",1,0,1
"one",6,18,57
"ongo",1,0,3
"onion",1,0,4
"open",2,18,10
"opportun",5,2,9
"organis",2,4,10
"outrag",1,0,8
"outrageinst",1,0,0
"owner",1,2,1
"pacif",1,4,1
"pack",1,0,1
"paid",1,3,10
"parad",1,0,1
"paradis",1,0,0
"pari",1,0,0
"parkeselector",2,0,0
"parliament",1,7,8
"part",3,3,13
"particp",1,0,0
"partner",1,4,3
"partnersh",1,0,0
"partnership",1,1,0
"pass",1,8,6
"past",1,2,4
"pastor",1,0,0
"pat",1,0,0
"patholog",4,2,1
"patienc",1,0,0
"patter",1,0,0
"penc",2,0,0
"peopl",7,23,66
"perhap",1,0,0
"personnel",1,0,0
"peter",1,4,8
"phillipcoorey",1,0,1
"pilo",1,0,0
"pilot",2,1,2
"pipelin",1,0,0
"plain",1,1,2
"plan",1,18,42
"plausibl",1,0,0
"plea",1,0,0
"pleas",4,22,12
"pledg",1,0,3
"plenti",1,0,4
"pmhcouncil",1,0,0
"pmqtourism",1,0,0
"point",2,2,13
"polici",1,10,55
"polit",1,3,18
"polli",1,0,0
"port",4,1,1
"portmacquari",1,0,0
"posit",1,1,10
"possibl",1,1,2
"pott",1,0,0
"practic",1,0,0
"premier",1,4,1
"prepar",2,2,1
"prepol",1,3,2
"presen",1,0,0
"present",3,6,7
"presid",2,3,3
"pretti",1,2,2
"price",1,6,40
"primari",1,7,5
"prime",8,5,13
"primewagga",1,0,0
"prioriti",1,4,1
"privat",1,4,5
"prize",1,0,4
"problem",1,3,8
"process",1,0,4
"produc",1,1,0
"product",1,5,5
"profit",1,0,2
"program",1,10,16
"progress",1,2,7
"project",5,9,4
"properti",1,15,6
"propos",2,5,15
"proserpin",1,0,0
"proud",1,11,14
"prove",1,1,0
"provid",1,14,13
"public",2,15,22
"purchas",1,1,1
"purpos",1,0,0
"put",1,2,23
"qld",2,1,6
"qldpolic",1,1,0
"queensland",7,6,6
"question",2,3,6
"quiet",3,0,1
"quit",1,1,3
"radic",1,1,4
"rafepstein",2,0,1
"rail",1,0,2
"railmap",1,0,0
"rais",1,7,8
"rare",1,1,3
"rate",1,2,14
"realis",1,0,3
"realli",3,5,15
"receiv",1,1,7
"recent",4,7,4
"recess",1,4,6
"recognis",1,3,0
"recognit",1,2,0
"reduc",1,1,8
"reduct",1,2,2
"reef",1,0,0
"refin",1,0,0
"region",17,4,11
"regionalstudyhub",1,0,0
"relat",1,2,2
"religi",2,1,0
"remain",1,1,2
"rememb",1,6,7
"remembr",2,1,1
"remembranceday",2,0,0
"remov",1,3,0
"repatri",1,0,0
"replac",2,2,0
"repres",1,3,3
"reserv",1,0,0
"resid",1,2,2
"resourc",2,0,1
"respect",1,2,3
"respond",1,0,3
"restor",1,0,7
"result",1,5,3
"retreat",1,0,0
"reunion",1,0,0
"rharri",8,1,5
"right",1,4,20
"ripper",1,0,0
"ritchi",1,0,0
"river",3,1,1
"riverina",2,0,0
"road",11,5,11
"rob",1,0,0
"rock",4,0,2
"rod",1,0,0
"roll",1,6,5
"rose",1,0,3
"round",1,2,5
"row",2,1,2
"rsl",1,2,0
"rsls",1,0,0
"run",1,4,6
"rural",2,0,0
"ruska",1,0,0
"ruthless",1,0,0
"rwmackayc",2,0,0
"safe",1,6,8
"safer",1,0,0
"safeti",3,4,3
"sandi",1,0,1
"santa",1,0,0
"sarahgroup",1,0,0
"sarahnavin",1,0,0
"sausag",2,2,4
"sawmil",1,0,0
"say",10,12,50
"scarecrowsutton",1,0,0
"scari",1,0,0
"school",7,39,28
"scott",1,1,48
"scottmorrisonmp",5,20,25
"searc",1,0,0
"season",1,1,1
"seat",1,1,5
"secondladi",2,0,0
"secret",1,6,2
"sector",1,2,7
"secur",1,5,24
"see",6,29,27
"seen",2,1,2
"sens",2,2,13
"sent",1,0,3
"serious",1,4,4
"serv",4,9,1
"servic",3,13,16
"set",2,2,3
"setter",1,0,0
"shannon",1,0,0
"share",4,8,13
"shark",1,1,0
"shed",4,2,1
"shin",1,0,0
"shire",1,0,0
"shot",1,0,2
"shout",2,1,0
"shower",1,0,0
"sick",2,0,6
"sinc",2,2,18
"singl",1,0,2
"siobhan",1,0,0
"site",1,3,3
"situat",1,0,0
"ski",1,0,0
"skynewsaust",7,32,14
"slow",2,0,3
"slsc",1,0,0
"small",3,14,4
"smart",1,0,2
"solid",1,0,1
"someon",1,1,5
"sometim",1,0,1
"somew",1,0,0
"song",1,0,2
"sound",1,4,2
"sourc",1,0,0
"southwest",1,0,1
"spare",1,0,1
"spark",1,0,0
"spent",2,2,8
"spiderman",1,0,0
"sport",2,1,4
"squar",2,0,2
"srg",1,0,0
"stadium",1,0,0
"staff",1,7,8
"stalingrad",1,0,0
"stand",1,4,3
"stapl",1,0,1
"start",3,7,12
"startup",1,1,0
"state",4,16,12
"stephendziedz",1,0,0
"stopidiot",1,0,0
"stori",1,3,2
"strawberri",1,1,0
"street",2,4,10
"strong",1,12,16
"stronger",1,2,2
"student",5,12,10
"subsidi",1,0,0
"success",1,5,5
"sueellen",1,0,0
"sug",1,0,0
"sugar",3,0,0
"suicid",2,2,1
"summit",1,0,3
"sunday",1,1,6
"sunriseon",1,2,3
"sup",1,0,0
"support",6,22,50
"sure",3,4,14
"surf",1,0,0
"surg",1,2,0
"survivor",1,0,1
"sustain",1,4,0
"sutton",1,0,0
"swrightwestoz",3,0,12
"sydneywatson",1,0,0
"symond",1,4,3
"tabl",2,0,10
"tackl",1,4,0
"take",4,5,18
"taken",1,0,0
"talk",2,20,16
"tambarspr",1,0,0
"tamper",1,1,0
"target",1,3,4
"tariff",1,0,1
"tax",1,27,55
"taylor",1,0,6
"tech",1,1,2
"technolog",1,4,2
"tell",1,2,9
"temora",3,0,0
"temorashir",1,0,0
"tender",1,0,0
"termin",1,1,2
"terribl",1,0,3
"terrif",1,4,9
"terror",2,7,6
"thank",4,33,48
"that",1,12,19
"thebridgehub",1,0,0
"thei",1,0,0
"thenat",6,0,0
"there",3,6,7
"theweeklytim",2,0,0
"thing",5,4,10
"think",4,7,32
"thought",1,3,7
"three",2,7,12
"thursday",1,1,0
"tie",1,0,2
"tim",1,1,3
"time",7,13,47
"tip",1,3,2
"titanmacquariemudrun",1,0,0
"today",13,56,83
"toilet",1,0,0
"tomorrow",1,2,5
"tonight",1,3,12
"tonn",1,1,0
"took",1,1,14
"toowoomba",2,2,0
"top",1,0,3
"touch",2,1,3
"tough",2,2,0
"tour",1,4,9
"toward",2,0,2
"tower",1,0,0
"trace",1,0,0
"tractor",1,0,0
"trad",1,0,0
"trade",2,2,5
"tradi",1,0,2
"traffic",1,0,5
"trail",1,0,0
"train",2,2,5
"transport",1,0,2
"traralgon",2,0,0
"travers",1,0,0
"trefl",1,0,0
"tri",2,4,16
"triniti",1,0,0
"trip",1,3,8
"troy",1,0,0
"truck",1,0,0
"true",1,3,4
"turbocharg",1,0,0
"turn",1,6,5
"two",2,8,11
"undercut",1,2,0
"understand",1,4,6
"unemploy",1,3,2
"unexpect",1,0,0
"ungari",1,0,0
"union",2,2,10
"unit",1,2,3
"unveil",1,1,3
"upgrad",4,1,1
"urannah",9,0,0
"use",1,3,12
"user",1,0,0
"valley",1,0,1
